,away_team,away_team_errors,away_team_hits,away_team_runs,date,hits_against,runs_against,away_team_win,home,season_hits_for,season_hits_against,season_runs_for,season_runs_against,season_errors,season_wins
0,New York Mets,1,7,3,4/3/16,9,4,0,0,0,0,0,0,0,0
1,Toronto Blue Jays,2,7,5,4/3/16,7,3,1,0,0,0,0,0,0,0
2,St. Louis Cardinals,0,5,1,4/3/16,9,4,0,0,0,0,0,0,0,0
3,Seattle Mariners,2,4,2,4/4/16,1,3,0,0,0,0,0,0,0,0
4,Toronto Blue Jays,1,7,5,4/4/16,8,3,1,0,7,7,5,3,2,1
5,Los Angeles Dodgers,0,17,15,4/4/16,4,0,1,0,0,0,0,0,0,0
6,Chicago White Sox,1,7,4,4/4/16,7,3,1,0,0,0,0,0,0,0
7,San Francisco Giants,0,15,12,4/4/16,8,3,1,0,0,0,0,0,0,0
8,Philadelphia Phillies,2,6,2,4/4/16,6,6,0,0,0,0,0,0,0,0
9,Minnesota Twins,0,7,2,4/4/16,10,3,0,0,0,0,0,0,0,0
10,Washington Nationals,0,8,4,4/4/16,4,3,1,0,0,0,0,0,0,0
11,Colorado Rockies,0,15,10,4/4/16,12,5,1,0,0,0,0,0,0,0
12,Chicago Cubs,0,11,9,4/4/16,3,0,1,0,0,0,0,0,0,0
13,Seattle Mariners,1,11,10,4/5/16,7,2,1,0,4,1,2,3,2,0
14,Toronto Blue Jays,0,9,2,4/5/16,7,3,0,0,14,15,10,6,3,2
15,Los Angeles Dodgers,0,6,3,4/5/16,2,0,1,0,17,4,15,0,0,1
16,St. Louis Cardinals,1,8,5,4/5/16,12,6,0,0,5,9,1,4,0,0
17,Chicago White Sox,0,11,5,4/5/16,10,4,1,0,7,7,4,3,1,1
18,Houston Astros,0,6,5,4/5/16,4,3,1,0,0,0,0,0,0,0
19,San Francisco Giants,0,7,2,4/5/16,6,1,1,0,15,8,12,3,0,1
20,Detroit Tigers,1,12,8,4/5/16,10,7,1,0,0,0,0,0,0,0
21,New York Mets,0,6,2,4/5/16,3,0,1,0,7,9,3,4,1,0
22,Boston Red Sox,0,11,6,4/5/16,5,2,1,0,0,0,0,0,0,0
23,Colorado Rockies,0,9,6,4/5/16,15,11,0,0,15,12,10,5,0,1
24,Chicago Cubs,1,9,6,4/5/16,4,1,1,0,11,3,9,0,0,1
25,Philadelphia Phillies,0,5,2,4/6/16,8,3,0,0,6,6,2,6,2,0
26,Minnesota Twins,0,5,2,4/6/16,9,4,0,0,7,10,2,3,0,0
27,Washington Nationals,0,8,3,4/6/16,8,1,1,0,8,4,4,3,0,1
28,Colorado Rockies,1,8,4,4/6/16,8,3,1,0,24,27,16,16,0,1
29,Seattle Mariners,0,14,9,4/6/16,7,5,1,0,15,8,12,5,3,1
