,home,season_hits_for,season_hits_against,season_runs_for,season_runs_against,season_errors,season_wins,ml_odds,rl_odds,ml_win,rl_win
0,1,0,0,0,0,0,0,110,-165,1,1
1,0,0,0,0,0,0,0,-120,145,0,0
2,1,0,0,0,0,0,0,-119,190,1,1
3,0,0,0,0,0,0,0,109,-230,0,0
4,1,0,0,0,0,0,0,-121,180,0,0
5,0,0,0,0,0,0,0,111,-210,1,1
6,1,0,0,0,0,0,0,-175,120,0,0
7,1,0,0,0,0,0,0,160,-113,0,0
8,1,0,0,0,0,0,0,-119,170,1,0
9,1,0,0,0,0,0,0,-175,120,1,1
10,0,0,0,0,0,0,0,155,-140,1,1
11,0,0,0,0,0,0,0,-145,115,1,1
12,0,0,0,0,0,0,0,-145,115,1,0
13,1,0,0,0,0,0,0,130,-135,0,0
14,0,0,0,0,0,0,0,-200,-111,1,1
15,1,0,0,0,0,0,0,155,-110,0,0
16,0,0,0,0,0,0,0,109,-200,0,0
17,1,0,0,0,0,0,0,130,-135,0,0
18,0,0,0,0,0,0,0,155,-140,0,0
19,1,0,0,0,0,0,0,170,-109,0,0
20,0,0,0,0,0,0,0,116,-200,0,0
21,0,0,0,0,0,0,0,-175,-110,1,1
22,1,7,7,3,5,1,0,-117,180,0,0
23,1,0,0,0,0,0,0,-126,170,1,0
24,0,7,7,5,3,2,1,107,-210,1,1
25,0,0,0,0,0,0,0,-180,-107,1,0
26,1,12,15,5,10,0,0,-130,155,1,1
27,0,0,0,0,0,0,0,113,-245,1,1
28,1,0,0,0,0,0,0,-123,205,0,0
29,0,15,12,10,5,0,1,115,-175,0,0
30,0,11,3,9,0,0,1,-125,140,1,1
31,0,7,7,4,3,1,1,-113,145,1,0
32,0,0,0,0,0,0,0,-107,155,1,0
33,0,0,0,0,0,0,0,-123,148,1,1
34,1,9,7,4,3,0,1,117,-140,0,0
35,1,3,11,0,9,1,0,115,-160,0,0
36,0,17,4,15,0,0,1,-115,140,1,1
37,1,0,0,0,0,0,0,-103,-175,0,0
38,1,8,15,3,12,1,0,143,-115,0,0
39,0,7,9,3,4,1,0,-127,120,1,1
40,1,0,0,0,0,0,0,113,-168,0,0
41,1,7,7,3,4,2,0,103,-165,0,0
42,1,9,5,4,1,1,1,-112,195,1,0
43,1,4,17,0,15,2,0,105,-160,0,0
44,0,4,1,2,3,2,0,-103,-215,1,1
45,0,15,8,12,3,0,1,-158,-105,1,0
46,0,5,9,1,4,0,0,102,-235,0,0
47,1,15,14,6,10,1,0,-103,-170,1,1
48,1,1,4,3,2,1,1,-107,185,0,0
49,0,14,15,10,6,3,2,-107,150,0,0
50,1,27,24,16,16,0,1,-140,145,0,0
51,1,4,8,3,4,2,0,170,-103,0,0
52,1,10,7,3,2,0,1,-116,170,1,1
53,0,11,5,6,2,0,1,126,-180,0,0
54,1,6,6,6,2,0,1,-132,165,1,0
55,1,5,11,2,6,1,0,-141,160,1,0
56,0,24,27,16,16,0,1,125,-165,1,1
57,0,18,17,9,7,1,2,117,-200,0,0
58,0,12,10,8,7,1,1,154,-150,1,1
59,0,6,4,5,3,0,1,116,-200,0,0
60,0,23,6,18,0,0,2,-145,120,1,1
61,1,10,12,7,8,2,0,-174,130,0,0
62,1,14,22,4,14,1,0,126,-140,1,1
63,0,7,10,2,3,0,0,106,-200,0,0
64,1,4,6,3,5,1,0,-131,170,1,1
65,1,17,18,7,9,2,0,-127,170,1,0
66,0,6,6,2,6,2,0,117,-185,0,0
67,1,21,13,10,6,3,2,-112,185,1,1
68,1,6,23,0,18,3,0,130,-140,0,0
