,Team,Date,Home,ML
0,Boston Red Sox,2020-07-31,1,162
1,New York Yankees,2020-07-31,0,-183
2,Atlanta Braves,2020-07-31,1,-132
3,New York Mets,2020-07-31,0,117
4,Cincinnati Reds,2020-07-31,1,-174
5,Detroit Tigers,2020-07-31,0,154
6,Baltimore Orioles,2020-07-31,1,169
7,Tampa Bay Rays,2020-07-31,0,-192
8,Chicago White Sox,2020-07-31,1,-158
9,Kansas City Royals,2020-07-31,0,141
10,Colorado Rockies,2020-07-31,1,-108
11,San Diego Padres,2020-07-31,0,-105
12,Cleveland Indians,2020-07-31,1,-121
13,Minnesota Twins,2020-07-31,0,107
14,Chicago Cubs,2020-07-31,1,-240
15,Pittsburgh Pirates,2020-07-31,0,188
16,San Francisco Giants,2020-07-31,1,107
17,Texas Rangers,2020-07-31,0,-121
18,Houston Astros,2020-07-31,1,-179
19,Los Angeles Angels,2020-07-31,0,157
20,Oakland Athletics,2020-07-31,1,-197
21,Seattle Mariners,2020-07-31,0,173
22,Arizona Diamondbacks,2020-07-31,1,116
23,Los Angeles Dodgers,2020-07-31,0,-131
